workers,totalCount_per_worker,ntot_total,temps_ms,speedup
1,16000000,16000000,540,1.0
2,16000000,32000000,586,0.9215017064846417
4,16000000,64000000,672,0.8035714285714286
8,16000000,128000000,776,0.6958762886597938
